en,uz
Read,o'qimoq
Holiday,"ta'til, bayram"
Wash,yuvmoq
Food,ovqat
Debt,qarz
Fire,"o't, olov"
Flame,uchqun
Fruit,meva
Fight,urush
Color,rang
Air,havo
An,san'atr (Mard) Mard odamlar o'z san'atini ko'rsatyapti
Chaik,bo'r
Glass,"oyna, stakan"
Ice,muz
Horse,ot
Law,qonun
Knee,tizza
Memory,xotira
Move,qimirlamoq
Poison,zahar
Sun,quyostr
Ring,"qo'ng'iroq, uzuk"
Rat,kalamush
Digestion,hazm qilish
Discovery,kashfiyot
Error,xato
Feel,his qilmoq
Cry,yig'lamoq
Pocket,cho'ntak
Pump,nasos
Prison,qamoqxona
Ticket,chipta
Thumb,bosh barmoq
Toe,oyoq tirnog'i
Stocking,paypoq
Power,kuch
Sheep,qo'y
Pig,cho'chqa
Wing,qanot
Wheel,g'ildirak
Tooth,tish
Tree,daraxt
Tongue,til
Town,shahar
Train,poyezd
Wire,"provod, telegraf, (xayr) Telegrafga kirganlarga xayr"
Profit,foyda
Produce,ishlab chiqarmoq
Pleasure,rohat
Paper,qog'oz
Orange,apelsin
Mountain,tog'
Market,bozor; (markaz) Bozor markazida yelkangizda
Neck,bo'yin
Mark,"belgi, belgilamoq"
Milk,sut
Head,bosh
Hammer,bolg'a
Hole,.teshik
Fold,qayrilish
Freeze,muzlatmoq
Rise,"ko'tarilmoq, o'smoq"
Take,olmoq
Leave,tark etmoq
Fall,"qulamoq, yiqilmoq"
Drive,haydamoq
Cut,"qirqmoq, kesmoq"
Choose,tanlamoq
Do,qilmoq
i Creep,"o'rmalab yurmoqr (grip) Grip kasaliga uchrab, yerda"
Make,"qilmoq, ishlab chiqarmoq, tikmoq"
Set,o'rnatmoq
Skink,qisqarmoq
Lose,yo'qotmoq
Lie,"yotmoq, yolg'on gapirmoq"
Run,)ugurmoq
Write,yozmoq
Appetite,"app6tit, bison (bayzon) - bizon, client (klaynt)"
diameter,"diametr, diaphragm (dayafragm) - diafragma, final"
microscope,"mikroskop, microphone (maykrofon) -"
mikrofbno mile,"mil, minus (maynus) - minus, pirate (payret) _"
pantomime,pantamimavah.k
I,men
You,"sen, siz"
We,biz
