english,uzbek_meanings,notes
bank,bank (moliya muassasasi) | qirg'oq (daryo qirg'og'i),noun; finance vs geography
bat,ko'rshapalak | beysbol tayoqchasi,noun
bark,daraxt po'stlog'i | (it) vovullash,noun/verb
bear,ayiq | ko'tarmoq/ko'tarib yurmoq | chidamoq,noun/verb
bill,hisob-faktura/to'lov qog'ozi | qonun loyihasi | tumshuq (qush),noun
board,taxta | kengash | bortga chiqmoq (transport),noun/verb
book,kitob | bron qilmoq/band qilish,noun/verb
boot,etik | (kompyuter) yuklash/boot qilish | tepmoq,noun/verb
bound,chegaralangan | sakramoq (bound) | bog'langan,adj/verb
break,sindirmoq | tanaffus | buzmoq (qoidani),verb/noun
case,ish/hodisa (case) | sumka/g'ilof | (huquq) ish,noun
charge,zaryad/elektr | ayblov | haq/to'lov | hujum qilmoq,noun/verb
check,tekshirmoq | chek (bank) | belgi (✔),verb/noun
chip,chip (mikrosxema) | qarsildoq bo'lak (chip) | mayda shikast,noun
class,sinf | dars | toifa,noun
close,yopmoq | yaqin (close) | tugatmoq (hisobni),verb/adj
club,klub (joy) | to'garak | kaltak (club),noun
code,kod | qonunlar majmuasi (code) | shifr,noun
coach,murabbiy | avtobus (coach) | o'rgatmoq,noun/verb
cold,sovuq | shamollash (cold),adj/noun
content,mazmun | kontent (media) | rozi/qoniqqan (content),noun/adj
copy,nusxa | ko'chirmoq | (kitob) nashr nusxasi,noun/verb
course,kurs | yo'nalish (course) | taom (course),noun
crane,turna (qush) | kran (ko'taruvchi),noun
current,joriy | oqim (suv) | tok (elektr),adj/noun
date,sana | uchrashuv (date) | xurmo (meva),noun
deal,kelishuv | muomala qilmoq | taqsimlamoq (kartani),noun/verb
deck,paluba | karta dastasi | bezatmoq (to deck),noun/verb
draft,qoralama | qoralama loyiha | shamol oqimi | chaqiruv (draft),noun
drive,haydamoq | disk (drive) | turtki/ishtiyoq,verb/noun
drop,tomchi | tushirmoq | (internet) uzilish/drop,noun/verb
fair,adolatli | yarmarka | och (rang) (fair),adj/noun
fan,muhlis | ventilyator,noun
field,maydon | soha | dala,noun
file,fayl | hujjatlar papkasi | tirnoqni sayqallamoq,noun/verb
fine,yaxshi/zo'r | jarima | mayda/nozik,adj/noun
firm,kompaniya | qat'iy,noun/adj
fit,"mos kelmoq | sog'lom | tutqanoq (fit, kam ishlatiladi)",verb/adj/noun
flat,tekis | kvartira | gazsiz (ichimlik),adj/noun
fly,uchmoq | pashsha | (kiyim) fermuar qismi (fly),verb/noun
fold,buklamoq | buklama (katlama),verb/noun
force,kuch | majburlamoq | qo'shin (force),noun/verb
frame,ramka | (kino) kadr | tuhmat qilmoq (frame),noun/verb
free,bepul | ozod | bo'shatmoq,adj/verb
front,old tomon | front (urush chizig'i) | oldinda turmoq,noun/adj/verb
game,o'yin | ov (game) | dadil/jasur (game),noun/adj
ground,yer | maydalamoq | asos (ground) | elektr yerga ulash,noun/verb
group,guruh | guruhlamoq,noun/verb
hammer,bolg'a | urmoq (bolg'alamoq),noun/verb
hard,qattiq | qiyin | astoydil (hard),adj/adv
head,bosh | rahbar | boshlamoq (head to...),noun/verb
highlight,ajratib ko'rsatmoq | muhim nuqta | yoritilgan joy,verb/noun
hold,ushlamoq | o'tkazmoq (majlisni) | tutib turmoq | band qilib qo'ymoq,verb/noun
jam,murabbo | tiqilib qolish (tirbandlik) | (musiqa) jam sessiya,noun/verb
key,kalit | muhim | (musiqa) tonallik | klaviatura tugmasi,noun/adj
kind,mehribon | tur/toifa,adj/noun
lead,yetaklamoq | qo'rg'oshin (metal) | peshqadamlik,verb/noun
left,chap | qolgan (left) | ketib qolgan,adj
light,yorug'lik | yengil | yoqmoq (chiroqni),noun/adj/verb
line,chiziq | navbat | yo'nalish (line) | satr,noun
log,jurnal/log | o'tin bo'lagi (log) | qayd etmoq (log),noun/verb
mail,pochta | email | zanjirli zirh (mail),noun
match,gugurt | o'yin/uchrashuv | mos kelmoq,noun/verb
mean,anglatmoq | o'rtacha (mean) | ziqna/yomon (mean),verb/adj/noun
mine,meniki | kon,pronoun/noun
model,model | namuna | modellashtirmoq,noun/verb
monitor,monitor (ekran) | kuzatmoq,noun/verb
note,eslatma | nota (musiqa) | qayd etmoq,noun/verb
object,obyekt | e'tiroz bildirmoq,noun/verb
park,park | to'xtatib qo'ymoq (mashinani),noun/verb
patient,bemor | sabrli,noun/adj
pitch,tashlamoq | (futbol) maydon | (musiqa) balandlik | taklif/pitch,noun/verb
plot,syujet | fitna | grafik chizma (plot),noun/verb
point,nuqta | maqsad/mazmun | ishora qilmoq,noun/verb
port,port (bandargoh) | port (kompyuter) | port vino,noun
power,quvvat | hokimiyat | elektr quvvati | kuch bermoq (to power),noun/verb
press,bosmoq | matbuot (press) | siqmoq,verb/noun
profile,profil | qisqacha ma'lumot | yon ko'rinish,noun
project,loyiha | proyeksiya | rejalashtirmoq (project),noun/verb
present,sovg'a | hozir (present) | taqdim etmoq,noun/adj/verb
race,poyga | irq | shoshilmoq (race),noun/verb
raise,ko'tarmoq | oshirmoq (narx) | tarbiyalamoq,verb
record,yozuv/rekord | qayd etmoq (record),noun/verb
register,ro'yxatga olish | registr (ro'yxat) | kassadagi registr,noun/verb
right,o'ng | to'g'ri | huquq,adj/noun
ring,uzuk | qo'ng'iroq (telefon) | halqa,noun/verb
rock,tosh | rok musiqa | tebranmoq,noun/verb
role,rol | vazifa,noun
root,ildiz | (IT) root huquqi | sabab (root cause),noun
run,yugurmoq | ishga tushirmoq (program) | yugurish (run),verb/noun
scale,o'lchov | tarozi | ko'lam | tangacha (baliq),noun
scan,skaner qilmoq | ko'zdan kechirmoq (tez),verb/noun
seal,muhrlamoq | tyulen (hayvon) | muhr,noun/verb
season,mavsum | (serial) sezon | ta'm berish (season),noun/verb
set,to'plam | o'rnatmoq | sozlamoq | botmoq (quyosh),verb/noun
sheet,varaq | choyshab | (Excel) varaq,noun
shot,o'q otish | kadr (shot) | in'eksiya,noun
sink,cho'kmoq | rakovina | (tish) botmoq,verb/noun
sound,tovush | sog'lom (sound) | jaranglamoq,noun/adj
source,manba | (IT) source-kod,noun
spring,bahor | prujina | sakramoq,noun/verb
stage,sahna | bosqich | uyushtirmoq (stage),noun/verb
stamp,marka | muhr bosmoq | tamg'a,noun/verb
star,yulduz | mashhur inson | yulduzcha (*),noun
store,do'kon | saqlamoq (ma'lumotni),noun/verb
stream,oqim | strim (jonli efir) | oqib kelmoq,noun/verb
table,stol | jadval | muhokamani keyinga qoldirmoq (table),noun/verb
tag,teg/belgi | teglamoq,noun/verb
tank,bak | tank (harbiy) | muvaffaqiyatsiz bo'lmoq (tank),noun/verb
term,atama | muddat | semestr,noun
thread,ip | (IT) oqim/thread | ketma-ket fikr,noun
track,iz | trek (musiqa) | kuzatmoq (track),noun/verb
train,poyezd | mashq qildirmoq | o'qitmoq,noun/verb
trust,ishonch | trast jamg'armasi | ishonmoq,noun/verb
type,tur | yozmoq (klaviaturada) | shrift turi,noun/verb
use,foydalanish | ishlatmoq,noun/verb
value,qiymat | qadriyat | baholamoq,noun/verb
wave,to'lqin | qo'l silkitmoq,noun/verb
watch,soat | kuzatmoq,noun/verb
well,yaxshi | quduq | (his) yaxshi (well),adv/noun
wire,sim | (IT) sim ulash | yashirin o'rnatma (wire),noun/verb
